date,Show_name,Show_theatre,This_Week_Gross,Difference,Average_ticket,Top_ticket,Seats_Sold,Seats_in_theater,Perfs,Previews,%cap,diff_cap,date_type,show_type
2023-01-01,Leopoldstadt,Longacre Theatre,"$915,701.05","$260,432.37",$115.49,$347.00,"7,929","1,075",9,0,81.95%,7.28%,post,Play
2023-01-01,Mike Birbiglia: The Old Man & the Pool,Vivian Beaumont Theater,"$619,469.00","$277,519.50",$80.26,$277.00,"7,718","1,079",8,0,89.41%,23.79%,post,Play
2023-01-01,MJ The Musical,Neil Simon Theatre,"$2,223,069.00","$382,502.00",$199.59,$250.00,"11,138","1,387",8,0,100.38%,0.28%,post,Musical
2023-01-01,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,975,131.60","$815,174.35",$168.94,$0.00,"11,691","1,300",9,0,99.92%,3.70%,post,Musical
2023-01-01,Ohio State Murders,James Earl Jones Theatre,"$311,892.50","$129,390.64",$65.93,$223.00,"4,731","1,070",9,0,49.13%,13.32%,post,Play
2023-01-01,SIX: The Musical,Lena Horne Theatre,"$1,649,206.00","$374,922.00",$199.54,$249.00,"8,265","1,031",8,0,100.21%,3.70%,post,Musical
2023-01-01,Some Like It Hot,Sam S. Shubert Theatre,"$1,176,786.16","$633,418.50",$106.55,$257.00,"11,044","1,448",9,0,84.75%,32.51%,post,Musical
2023-01-01,Take Me Out,Gerald Schoenfeld Theatre,"$537,588.50","$313,225.22",$85.24,$317.00,"6,307","1,061",9,0,66.05%,11.49%,post,Play
2023-01-01,The Book of Mormon,Eugene O'Neill Theatre,"$1,680,123.95","$595,959.77",$172.00,$0.00,"9,768","1,066",9,0,101.81%,6.96%,post,Musical
2023-01-01,The Collaboration,Samuel J. Friedman Theatre,"$248,590.00",$0.00,$73.68,$279.00,"3,374",637,7,0,75.67%,0.00%,post,Play
2023-01-01,The Lion King,Minskoff Theatre,"$4,315,264.00","$1,724,958.00",$284.89,$199.00,"15,147","1,696",9,0,99.23%,2.89%,post,Musical
2023-01-01,The Music Man,Winter Garden Theatre,"$3,971,530.80","$1,353,870.52",$285.80,$797.00,"13,896","1,525",9,0,101.25%,4.61%,post,Musical
2023-01-01,The Phantom of the Opera,Majestic Theatre,"$2,788,017.30","$866,445.79",$189.79,$497.00,"14,690","1,605",9,0,101.70%,0.26%,post,Musical
2023-01-01,The Piano Lesson,Ethel Barrymore Theatre,"$1,140,436.74","$501,236.24",$129.08,$297.00,"8,835","1,043",9,0,94.12%,20.25%,post,Play
2023-01-01,Topdog/Underdog,John Golden Theatre,"$345,566.70","$144,937.20",$88.31,$273.00,"3,913",802,8,0,60.99%,19.81%,post,Play
2023-01-01,Wicked,Gershwin Theatre,"$3,152,679.00","$789,749.00",$181.88,$275.00,"17,334","1,926",9,0,100.00%,1.87%,post,Musical
2022-12-25,& Juliet,Stephen Sondheim Theatre,"$927,232.60","-$143,924.60",$133.86,$323.00,"6,927","1,026",7,0,96.45%,4.78%,post,Musical
2022-12-25,1776,American Airlines Theatre,"$130,241.80","-$81,868.30",$49.02,$248.00,"2,657",723,6,0,61.25%,-9.57%,post,Musical
2022-12-25,"A Beautiful Noise, The Neil Diamond Musical",Broadhurst Theatre,"$788,207.25","-$583,891.97",$147.30,$347.50,"5,351","1,152",7,0,66.36%,-24.45%,post,Musical
2022-12-25,A Christmas Carol,Nederlander Theatre,"$729,574.00","-$93,483.00",$122.37,$229.00,"5,962","1,185",8,0,62.89%,-21.37%,post,Play
2022-12-25,A Strange Loop,Lyceum Theatre,"$283,086.10","-$237,855.91",$90.21,$297.00,"3,138",912,5,0,68.82%,-6.13%,post,Musical
2022-12-25,Ain't No Mo',Belasco Theatre,"$765,341.50","$266,038.50",$109.23,$297.00,"7,007","1,019",7,0,98.23%,5.27%,post,Play
